Jurisdiction,iso_3166_2,YearDur,Year,Fuel,Unit,Quantity
AUS,AU-AUS,10-Nov,#VALUE!,Hydro,GWh,16806.7
AUS,AU-AUS,10-Nov,#VALUE!,Large-scale solar PV,GWh,
AUS,AU-AUS,10-Nov,#VALUE!,Natural gas,GWh,48996.7
AUS,AU-AUS,10-Nov,#VALUE!,Oil products,GWh,3093.8
AUS,AU-AUS,10-Nov,#VALUE!,Other,GWh,
AUS,AU-AUS,10-Nov,#VALUE!,Small-scale solar PV,GWh,1530.5
AUS,AU-AUS,10-Nov,#VALUE!,Total,GWh,250861.691
AUS,AU-AUS,10-Nov,#VALUE!,Total non-renewable,GWh,224337.4
AUS,AU-AUS,10-Nov,#VALUE!,Total renewable,GWh,26524.291
AUS,AU-AUS,10-Nov,#VALUE!,Wind,GWh,6084.891
AUS,AU-AUS,11-Dec,#VALUE!,"Bagasse, wood",GWh,1606.306
AUS,AU-AUS,11-Dec,#VALUE!,Biogas,GWh,1437.441
AUS,AU-AUS,11-Dec,#VALUE!,Black coal,GWh,116654.3
AUS,AU-AUS,11-Dec,#VALUE!,Brown coal,GWh,55067.7
AUS,AU-AUS,11-Dec,#VALUE!,Geothermal,GWh,0.5
AUS,AU-AUS,11-Dec,#VALUE!,Hydro,GWh,14083.3
AUS,AU-AUS,11-Dec,#VALUE!,Large-scale solar PV,GWh,
AUS,AU-AUS,11-Dec,#VALUE!,Natural gas,GWh,48571.5
AUS,AU-AUS,11-Dec,#VALUE!,Oil products,GWh,2702.5
AUS,AU-AUS,11-Dec,#VALUE!,Other,GWh,
AUS,AU-AUS,11-Dec,#VALUE!,Small-scale solar PV,GWh,2558.6
AUS,AU-AUS,11-Dec,#VALUE!,Total,GWh,249651.975
AUS,AU-AUS,11-Dec,#VALUE!,Total non-renewable,GWh,222996
AUS,AU-AUS,11-Dec,#VALUE!,Total renewable,GWh,26655.975
AUS,AU-AUS,11-Dec,#VALUE!,Wind,GWh,6969.828
AUS,AU-AUS,2012-13,2012,"Bagasse, wood",GWh,1714.34
AUS,AU-AUS,2012-13,2012,Biogas,GWh,1429.16
AUS,AU-AUS,2012-13,2012,Black coal,GWh,111491.1
AUS,AU-AUS,2012-13,2012,Brown coal,GWh,47555.1
AUS,AU-AUS,2012-13,2012,Geothermal,GWh,0.5
AUS,AU-AUS,2012-13,2012,Hydro,GWh,18269.6
AUS,AU-AUS,2012-13,2012,Large-scale solar PV,GWh,
AUS,AU-AUS,2012-13,2012,Natural gas,GWh,51053.4
AUS,AU-AUS,2012-13,2012,Oil products,GWh,4464.3
AUS,AU-AUS,2012-13,2012,Other,GWh,
AUS,AU-AUS,2012-13,2012,Small-scale solar PV,GWh,3826.2
AUS,AU-AUS,2012-13,2012,Total,GWh,247763.3
AUS,AU-AUS,2012-13,2012,Total non-renewable,GWh,214563.9
AUS,AU-AUS,2012-13,2012,Total renewable,GWh,33199.4
AUS,AU-AUS,2012-13,2012,Wind,GWh,7959.6
AUS,AU-AUS,2013-14,2013,"Bagasse, wood",GWh,2053.487
AUS,AU-AUS,2013-14,2013,Biogas,GWh,1445.903
AUS,AU-AUS,2013-14,2013,Black coal,GWh,106965.495
AUS,AU-AUS,2013-14,2013,Brown coal,GWh,46076.2
AUS,AU-AUS,2013-14,2013,Geothermal,GWh,0.5
AUS,AU-AUS,2013-14,2013,Hydro,GWh,18420.9
AUS,AU-AUS,2013-14,2013,Large-scale solar PV,GWh,49.678
AUS,AU-AUS,2013-14,2013,Natural gas,GWh,54393.9
AUS,AU-AUS,2013-14,2013,Oil products,GWh,5012.3
AUS,AU-AUS,2013-14,2013,Other,GWh,
AUS,AU-AUS,2013-14,2013,Small-scale solar PV,GWh,4366.277
AUS,AU-AUS,2013-14,2013,Total,GWh,249036.579
AUS,AU-AUS,2013-14,2013,Total non-renewable,GWh,212447.895
AUS,AU-AUS,2013-14,2013,Total renewable,GWh,36588.684
AUS,AU-AUS,2013-14,2013,Wind,GWh,10251.939
AUS,AU-AUS,2014-15,2014,"Bagasse, wood",GWh,2353.376
AUS,AU-AUS,2014-15,2014,Biogas,GWh,1238.858
AUS,AU-AUS,2014-15,2014,Black coal,GWh,107639.4
AUS,AU-AUS,2014-15,2014,Brown coal,GWh,50970.4
AUS,AU-AUS,2014-15,2014,Geothermal,GWh,0.6
AUS,AU-AUS,2014-15,2014,Hydro,GWh,13445
AUS,AU-AUS,2014-15,2014,Large-scale solar PV,GWh,107.221
AUS,AU-AUS,2014-15,2014,Natural gas,GWh,52916.912
AUS,AU-AUS,2014-15,2014,Oil products,GWh,6828.45
AUS,AU-AUS,2014-15,2014,Other,GWh,
AUS,AU-AUS,2014-15,2014,Small-scale solar PV,GWh,5424.113
AUS,AU-AUS,2014-15,2014,Total,GWh,252390.815
AUS,AU-AUS,2014-15,2014,Total non-renewable,GWh,218355.162
AUS,AU-AUS,2014-15,2014,Total renewable,GWh,34035.653
AUS,AU-AUS,2014-15,2014,Wind,GWh,11466.485
AUS,AU-AUS,2015-16,2015,"Bagasse, wood",GWh,2493.407
AUS,AU-AUS,2015-16,2015,Biogas,GWh,1296.487
AUS,AU-AUS,2015-16,2015,Black coal,GWh,114263.032
AUS,AU-AUS,2015-16,2015,Brown coal,GWh,48827.807
AUS,AU-AUS,2015-16,2015,Geothermal,GWh,0.215
AUS,AU-AUS,2015-16,2015,Hydro,GWh,15318.18
AUS,AU-AUS,2015-16,2015,Large-scale solar PV,GWh,457.212
